scale factor: 15.0, Acc: 85.75, Fairness Metric: 16.43, Tradeoff: 16.880297 
scale factor: 20.0, Acc: 85.71, Fairness Metric: 16.11, Tradeoff: 13.301590 
scale factor: 25.0, Acc: 85.68, Fairness Metric: 15.86, Tradeoff: 12.730522 
scale factor: 30.0, Acc: 85.74, Fairness Metric: 15.12, Tradeoff: 32.866695 
scale factor: 35.0, Acc: 85.70, Fairness Metric: 15.07, Tradeoff: 21.367483 
scale factor: 40.0, Acc: 85.75, Fairness Metric: 14.62, Tradeoff: 42.896950 
scale factor: 45.0, Acc: 85.71, Fairness Metric: 14.46, Tradeoff: 29.533163 
scale factor: 50.0, Acc: 85.71, Fairness Metric: 13.87, Tradeoff: 33.150444 
scale factor: 55.0, Acc: 85.66, Fairness Metric: 13.57, Tradeoff: 25.948923 
scale factor: 60.0, Acc: 85.56, Fairness Metric: 13.15, Tradeoff: 17.126289 
scale factor: 65.0, Acc: 85.52, Fairness Metric: 12.66, Tradeoff: 16.337376 
scale factor: 70.0, Acc: 85.49, Fairness Metric: 12.51, Tradeoff: 15.562411 
scale factor: 75.0, Acc: 85.46, Fairness Metric: 12.77, Tradeoff: 13.508457 
scale factor: 80.0, Acc: 85.48, Fairness Metric: 12.37, Tradeoff: 15.405610 
scale factor: 85.0, Acc: 85.45, Fairness Metric: 11.86, Tradeoff: 15.521032 
scale factor: 90.0, Acc: 85.39, Fairness Metric: 11.54, Tradeoff: 14.038892 
scale factor: 95.0, Acc: 85.31, Fairness Metric: 11.00, Tradeoff: 13.067382 
scale factor: 100.0, Acc: 85.18, Fairness Metric: 10.75, Tradeoff: 10.700483 
scale factor: 105.0, Acc: 85.15, Fairness Metric: 10.23, Tradeoff: 11.094060 
scale factor: 110.0, Acc: 85.11, Fairness Metric: 9.94, Tradeoff: 10.730545 
scale factor: 115.0, Acc: 85.08, Fairness Metric: 9.54, Tradeoff: 10.921824 
scale factor: 120.0, Acc: 85.09, Fairness Metric: 9.63, Tradeoff: 10.979956 
scale factor: 125.0, Acc: 85.03, Fairness Metric: 9.32, Tradeoff: 10.428773 
scale factor: 130.0, Acc: 85.01, Fairness Metric: 9.08, Tradeoff: 10.498238 
scale factor: 135.0, Acc: 85.00, Fairness Metric: 9.33, Tradeoff: 10.104853 
scale factor: 140.0, Acc: 84.98, Fairness Metric: 9.22, Tradeoff: 10.014299 
scale factor: 145.0, Acc: 84.83, Fairness Metric: 8.86, Tradeoff: 8.824587 
scale factor: 150.0, Acc: 84.80, Fairness Metric: 8.64, Tradeoff: 8.829146 
scale factor: 155.0, Acc: 84.50, Fairness Metric: 7.25, Tradeoff: 7.830340 
scale factor: 160.0, Acc: 84.58, Fairness Metric: 7.45, Tradeoff: 8.177671 
scale factor: 200.0, Acc: 84.08, Fairness Metric: 4.92, Tradeoff: 7.289865 
scale factor: 205.0, Acc: 84.04, Fairness Metric: 5.36, Tradeoff: 6.895251 
