seed: 100, scaler: 1.0, Trng Acc: 86.90, Trng Fairness Metric: 2.68, Test Acc: 85.97, Test Fairness Metric: 2.43, Tradeoff: 13.0038 
seed: 200, scaler: 1.0, Trng Acc: 86.80, Trng Fairness Metric: 2.89, Test Acc: 86.05, Test Fairness Metric: 3.17, Tradeoff: 23.2209 
seed: 300, scaler: 1.0, Trng Acc: 86.90, Trng Fairness Metric: 3.26, Test Acc: 85.93, Test Fairness Metric: 3.78, Tradeoff: 532.0029 
seed: 777, scaler: 1.0, Trng Acc: 86.79, Trng Fairness Metric: 2.98, Test Acc: 85.98, Test Fairness Metric: 3.19, Tradeoff: 197.4007 
seed: 100, scaler: 2.0, Trng Acc: 86.89, Trng Fairness Metric: 2.08, Test Acc: 86.01, Test Fairness Metric: 1.97, Tradeoff: 55.8275 
seed: 200, scaler: 2.0, Trng Acc: 86.79, Trng Fairness Metric: 2.30, Test Acc: 86.03, Test Fairness Metric: 3.00, Tradeoff: 18.3484 
seed: 300, scaler: 2.0, Trng Acc: 86.69, Trng Fairness Metric: 2.56, Test Acc: 85.92, Test Fairness Metric: 3.32, Tradeoff: 95.2941 
seed: 777, scaler: 2.0, Trng Acc: 86.73, Trng Fairness Metric: 2.04, Test Acc: 85.95, Test Fairness Metric: 2.64, Tradeoff: 38.5257 
seed: 100, scaler: 3.0, Trng Acc: 86.63, Trng Fairness Metric: 2.00, Test Acc: 86.03, Test Fairness Metric: 2.33, Tradeoff: 256.9834 
seed: 200, scaler: 3.0, Trng Acc: 86.78, Trng Fairness Metric: 1.90, Test Acc: 86.05, Test Fairness Metric: 2.76, Tradeoff: 34.8317 
seed: 300, scaler: 3.0, Trng Acc: 86.69, Trng Fairness Metric: 2.15, Test Acc: 85.93, Test Fairness Metric: 2.88, Tradeoff: 1091.0033 
seed: 777, scaler: 3.0, Trng Acc: 86.45, Trng Fairness Metric: 2.14, Test Acc: 85.98, Test Fairness Metric: 3.01, Tradeoff: 267.6155 
seed: 100, scaler: 4.0, Trng Acc: 86.65, Trng Fairness Metric: 1.17, Test Acc: 86.01, Test Fairness Metric: 1.59, Tradeoff: 73.5970 
seed: 200, scaler: 4.0, Trng Acc: 86.59, Trng Fairness Metric: 1.74, Test Acc: 86.07, Test Fairness Metric: 2.65, Tradeoff: 128.1446 
seed: 300, scaler: 4.0, Trng Acc: 86.87, Trng Fairness Metric: 1.69, Test Acc: 85.91, Test Fairness Metric: 2.72, Tradeoff: 95.5828 
