seed: 100, eta: 1.0, Trng Acc: 86.25, Trng Fairness Metric: 0.29, Test Acc: 85.98, Test Fairness Metric: 0.08, Tradeoff: 105.7338 
seed: 200, eta: 1.0, Trng Acc: 86.27, Trng Fairness Metric: 0.08, Test Acc: 85.93, Test Fairness Metric: 0.48, Tradeoff: 44.1028 
seed: 300, eta: 1.0, Trng Acc: 86.23, Trng Fairness Metric: 0.02, Test Acc: 85.93, Test Fairness Metric: 0.81, Tradeoff: 4781.5127 
seed: 777, eta: 1.0, Trng Acc: 86.39, Trng Fairness Metric: 0.07, Test Acc: 85.89, Test Fairness Metric: 0.50, Tradeoff: 68.6206 
seed: 100, eta: 2.0, Trng Acc: 86.24, Trng Fairness Metric: 0.22, Test Acc: 85.98, Test Fairness Metric: 0.25, Tradeoff: 116.0911 
seed: 200, eta: 2.0, Trng Acc: 86.12, Trng Fairness Metric: 0.27, Test Acc: 85.93, Test Fairness Metric: 0.28, Tradeoff: 47.3409 
seed: 300, eta: 2.0, Trng Acc: 86.16, Trng Fairness Metric: 0.34, Test Acc: 85.93, Test Fairness Metric: 0.68, Tradeoff: 4857.4668 
seed: 777, eta: 2.0, Trng Acc: 86.38, Trng Fairness Metric: 0.25, Test Acc: 85.89, Test Fairness Metric: 0.24, Tradeoff: 71.5649 
seed: 100, eta: 1.0, Trng Acc: 86.25, Trng Fairness Metric: 0.29, Test Acc: 85.98, Test Fairness Metric: 0.08, Tradeoff: 105.7338 
seed: 200, eta: 1.0, Trng Acc: 86.27, Trng Fairness Metric: 0.08, Test Acc: 85.93, Test Fairness Metric: 0.48, Tradeoff: 44.1028 
seed: 300, eta: 1.0, Trng Acc: 86.23, Trng Fairness Metric: 0.02, Test Acc: 85.93, Test Fairness Metric: 0.81, Tradeoff: 4781.5127 
seed: 777, eta: 1.0, Trng Acc: 86.39, Trng Fairness Metric: 0.07, Test Acc: 85.89, Test Fairness Metric: 0.50, Tradeoff: 68.6206 
seed: 100, eta: 2.0, Trng Acc: 86.24, Trng Fairness Metric: 0.22, Test Acc: 85.98, Test Fairness Metric: 0.25, Tradeoff: 116.0911 
seed: 200, eta: 2.0, Trng Acc: 86.12, Trng Fairness Metric: 0.27, Test Acc: 85.93, Test Fairness Metric: 0.28, Tradeoff: 47.3409 
seed: 300, eta: 2.0, Trng Acc: 86.16, Trng Fairness Metric: 0.34, Test Acc: 85.93, Test Fairness Metric: 0.68, Tradeoff: 4857.4668 
seed: 777, eta: 2.0, Trng Acc: 86.38, Trng Fairness Metric: 0.25, Test Acc: 85.89, Test Fairness Metric: 0.24, Tradeoff: 71.5649 
seed: 100, eta: 3.0, Trng Acc: 86.30, Trng Fairness Metric: 0.23, Test Acc: 85.98, Test Fairness Metric: 0.71, Tradeoff: 93.7028 
seed: 200, eta: 3.0, Trng Acc: 86.25, Trng Fairness Metric: 0.46, Test Acc: 85.97, Test Fairness Metric: 0.76, Tradeoff: 59.0170 
seed: 300, eta: 3.0, Trng Acc: 86.22, Trng Fairness Metric: 0.17, Test Acc: 85.92, Test Fairness Metric: 0.74, Tradeoff: 1005.6415 
seed: 777, eta: 3.0, Trng Acc: 86.41, Trng Fairness Metric: 0.07, Test Acc: 85.88, Test Fairness Metric: 1.29, Tradeoff: 52.4532 
seed: 100, eta: 4.0, Trng Acc: 86.44, Trng Fairness Metric: 0.10, Test Acc: 85.99, Test Fairness Metric: 0.90, Tradeoff: 117.7552 
seed: 200, eta: 4.0, Trng Acc: 86.29, Trng Fairness Metric: 1.01, Test Acc: 85.89, Test Fairness Metric: 0.01, Tradeoff: 36.8091 
seed: 300, eta: 4.0, Trng Acc: 86.13, Trng Fairness Metric: 0.04, Test Acc: 85.91, Test Fairness Metric: 1.01, Tradeoff: 376.0242 
seed: 777, eta: 4.0, Trng Acc: 86.33, Trng Fairness Metric: 0.75, Test Acc: 85.83, Test Fairness Metric: 0.35, Tradeoff: 41.5179 
seed: 100, eta: 5.0, Trng Acc: 0.00, Trng Fairness Metric: 0.00, Test Acc: 0.00, Test Fairness Metric: 0.00, Tradeoff: 0.0000 
seed: 200, eta: 5.0, Trng Acc: 0.00, Trng Fairness Metric: 0.00, Test Acc: 0.00, Test Fairness Metric: 0.00, Tradeoff: 0.0000 
seed: 300, eta: 5.0, Trng Acc: 86.07, Trng Fairness Metric: 13.62, Test Acc: 85.93, Test Fairness Metric: 12.85, Tradeoff: 952.7213 
seed: 777, eta: 5.0, Trng Acc: 86.36, Trng Fairness Metric: 12.73, Test Acc: 86.00, Test Fairness Metric: 12.57, Tradeoff: 376.4572 
