scale factor: 5.0, Acc: 68.70, Fairness Metric: 11.26, Tradeoff: 5306.235840 
scale factor: 10.0, Acc: 67.98, Fairness Metric: 3.02, Tradeoff: 16.099667 
scale factor: 15.0, Acc: 68.46, Fairness Metric: 6.63, Tradeoff: 33.112041 
scale factor: 20.0, Acc: 68.60, Fairness Metric: 10.07, Tradeoff: 46.562553 
scale factor: 25.0, Acc: 68.65, Fairness Metric: 8.82, Tradeoff: 118.569252 
scale factor: 30.0, Acc: 68.56, Fairness Metric: 9.41, Tradeoff: 35.718033 
scale factor: 35.0, Acc: 68.08, Fairness Metric: 8.34, Tradeoff: 9.993155 
scale factor: 40.0, Acc: 68.56, Fairness Metric: 4.56, Tradeoff: 69.553711 
scale factor: 45.0, Acc: 67.94, Fairness Metric: 7.65, Tradeoff: 9.036002 
scale factor: 50.0, Acc: 68.37, Fairness Metric: 7.24, Tradeoff: 21.857071 
scale factor: 55.0, Acc: 67.94, Fairness Metric: 7.16, Tradeoff: 9.670778 
scale factor: 60.0, Acc: 68.51, Fairness Metric: 8.57, Tradeoff: 31.213602 
scale factor: 65.0, Acc: 67.17, Fairness Metric: 5.48, Tradeoff: 5.941703 
scale factor: 70.0, Acc: 66.46, Fairness Metric: 0.27, Tradeoff: 6.370200 
scale factor: 75.0, Acc: 68.37, Fairness Metric: 4.03, Tradeoff: 31.471399 
scale factor: 80.0, Acc: 67.98, Fairness Metric: 6.33, Tradeoff: 11.485024 
scale factor: 85.0, Acc: 65.03, Fairness Metric: 2.60, Tradeoff: 3.254800 
scale factor: 90.0, Acc: 68.32, Fairness Metric: 10.88, Tradeoff: 9.587436 
scale factor: 95.0, Acc: 68.22, Fairness Metric: 9.08, Tradeoff: 11.442186 
scale factor: 100.0, Acc: 67.32, Fairness Metric: 1.64, Tradeoff: 9.332687 
