seed: 100, scaler: 1.0, Trng Acc: 70.37, Trng Fairness Metric: 11.82, Test Acc: 69.51, Test Fairness Metric: 15.59, Tradeoff: 21.8269 
seed: 200, scaler: 1.0, Trng Acc: 69.80, Trng Fairness Metric: 12.99, Test Acc: 69.60, Test Fairness Metric: 17.66, Tradeoff: 14.7238 
seed: 300, scaler: 1.0, Trng Acc: 70.44, Trng Fairness Metric: 12.92, Test Acc: 69.46, Test Fairness Metric: 16.30, Tradeoff: 2.0613 
seed: 777, scaler: 1.0, Trng Acc: 70.22, Trng Fairness Metric: 12.04, Test Acc: 69.32, Test Fairness Metric: 15.72, Tradeoff: 1437.7837 
seed: 100, scaler: 2.0, Trng Acc: 69.75, Trng Fairness Metric: 12.16, Test Acc: 69.56, Test Fairness Metric: 15.95, Tradeoff: 37.5092 
seed: 200, scaler: 2.0, Trng Acc: 69.65, Trng Fairness Metric: 13.42, Test Acc: 69.56, Test Fairness Metric: 17.17, Tradeoff: 12.4486 
seed: 300, scaler: 2.0, Trng Acc: 70.44, Trng Fairness Metric: 12.28, Test Acc: 69.60, Test Fairness Metric: 15.20, Tradeoff: 32.8539 
seed: 777, scaler: 2.0, Trng Acc: 70.19, Trng Fairness Metric: 11.15, Test Acc: 69.32, Test Fairness Metric: 14.22, Tradeoff: 2611.4768 
seed: 100, scaler: 3.0, Trng Acc: 69.65, Trng Fairness Metric: 11.10, Test Acc: 69.56, Test Fairness Metric: 14.51, Tradeoff: 71.1245 
seed: 200, scaler: 3.0, Trng Acc: 69.75, Trng Fairness Metric: 11.94, Test Acc: 69.60, Test Fairness Metric: 16.88, Tradeoff: 31.9055 
seed: 300, scaler: 3.0, Trng Acc: 70.22, Trng Fairness Metric: 11.05, Test Acc: 69.46, Test Fairness Metric: 14.27, Tradeoff: 12.8373 
seed: 777, scaler: 3.0, Trng Acc: 69.56, Trng Fairness Metric: 12.67, Test Acc: 69.27, Test Fairness Metric: 15.12, Tradeoff: 49.5783 
seed: 100, scaler: 4.0, Trng Acc: 69.70, Trng Fairness Metric: 9.52, Test Acc: 69.56, Test Fairness Metric: 11.63, Tradeoff: 137.8929 
seed: 200, scaler: 4.0, Trng Acc: 69.53, Trng Fairness Metric: 13.05, Test Acc: 69.60, Test Fairness Metric: 17.25, Tradeoff: 23.6754 
seed: 300, scaler: 4.0, Trng Acc: 70.24, Trng Fairness Metric: 9.54, Test Acc: 69.46, Test Fairness Metric: 11.86, Tradeoff: 25.6573 
seed: 777, scaler: 4.0, Trng Acc: 69.68, Trng Fairness Metric: 10.20, Test Acc: 69.27, Test Fairness Metric: 12.89, Tradeoff: 95.3581 
seed: 100, scaler: 5.0, Trng Acc: 69.58, Trng Fairness Metric: 9.46, Test Acc: 69.51, Test Fairness Metric: 12.62, Tradeoff: 54.5304 
seed: 200, scaler: 5.0, Trng Acc: 69.97, Trng Fairness Metric: 10.48, Test Acc: 69.32, Test Fairness Metric: 14.60, Tradeoff: 11.2487 
seed: 300, scaler: 5.0, Trng Acc: 70.22, Trng Fairness Metric: 9.45, Test Acc: 69.32, Test Fairness Metric: 11.51, Tradeoff: 15.6506 
seed: 777, scaler: 5.0, Trng Acc: 69.78, Trng Fairness Metric: 7.98, Test Acc: 69.13, Test Fairness Metric: 10.42, Tradeoff: 37.1416 
seed: 100, scaler: 6.0, Trng Acc: 69.21, Trng Fairness Metric: 9.04, Test Acc: 69.46, Test Fairness Metric: 11.20, Tradeoff: 46.0485 
seed: 200, scaler: 6.0, Trng Acc: 69.33, Trng Fairness Metric: 11.41, Test Acc: 69.46, Test Fairness Metric: 15.50, Tradeoff: 14.9987 
seed: 300, scaler: 6.0, Trng Acc: 69.68, Trng Fairness Metric: 8.39, Test Acc: 69.22, Test Fairness Metric: 9.88, Tradeoff: 15.9583 
seed: 777, scaler: 6.0, Trng Acc: 69.78, Trng Fairness Metric: 7.28, Test Acc: 69.13, Test Fairness Metric: 8.04, Tradeoff: 49.5560 
seed: 100, scaler: 7.0, Trng Acc: 68.89, Trng Fairness Metric: 8.61, Test Acc: 69.41, Test Fairness Metric: 11.15, Tradeoff: 34.5321 
seed: 200, scaler: 7.0, Trng Acc: 69.14, Trng Fairness Metric: 10.43, Test Acc: 69.56, Test Fairness Metric: 15.05, Tradeoff: 35.2064 
seed: 300, scaler: 7.0, Trng Acc: 69.21, Trng Fairness Metric: 11.12, Test Acc: 69.46, Test Fairness Metric: 12.94, Tradeoff: 19.8946 
seed: 777, scaler: 7.0, Trng Acc: 69.31, Trng Fairness Metric: 6.73, Test Acc: 69.13, Test Fairness Metric: 8.36, Tradeoff: 47.8880 
seed: 100, scaler: 8.0, Trng Acc: 68.87, Trng Fairness Metric: 8.11, Test Acc: 69.41, Test Fairness Metric: 9.21, Tradeoff: 44.9613 
seed: 200, scaler: 8.0, Trng Acc: 69.41, Trng Fairness Metric: 9.20, Test Acc: 69.41, Test Fairness Metric: 14.06, Tradeoff: 18.0732 
seed: 300, scaler: 8.0, Trng Acc: 69.21, Trng Fairness Metric: 7.36, Test Acc: 69.03, Test Fairness Metric: 9.25, Tradeoff: 12.0583 
seed: 777, scaler: 8.0, Trng Acc: 69.09, Trng Fairness Metric: 7.34, Test Acc: 68.99, Test Fairness Metric: 9.14, Tradeoff: 25.1328 
seed: 100, scaler: 9.0, Trng Acc: 68.75, Trng Fairness Metric: 7.83, Test Acc: 69.22, Test Fairness Metric: 8.51, Tradeoff: 24.0675 
seed: 200, scaler: 9.0, Trng Acc: 69.04, Trng Fairness Metric: 8.64, Test Acc: 69.08, Test Fairness Metric: 12.99, Tradeoff: 9.3826 
seed: 300, scaler: 9.0, Trng Acc: 68.72, Trng Fairness Metric: 9.98, Test Acc: 69.18, Test Fairness Metric: 12.21, Tradeoff: 9.4558 
seed: 777, scaler: 9.0, Trng Acc: 69.02, Trng Fairness Metric: 8.54, Test Acc: 68.99, Test Fairness Metric: 10.31, Tradeoff: 21.6145 
seed: 100, scaler: 10.0, Trng Acc: 68.57, Trng Fairness Metric: 8.56, Test Acc: 69.56, Test Fairness Metric: 9.28, Tradeoff: 192.4446 
seed: 200, scaler: 10.0, Trng Acc: 68.67, Trng Fairness Metric: 9.11, Test Acc: 69.08, Test Fairness Metric: 13.56, Tradeoff: 8.3771 
seed: 300, scaler: 10.0, Trng Acc: 68.65, Trng Fairness Metric: 9.53, Test Acc: 69.32, Test Fairness Metric: 11.42, Tradeoff: 15.9100 
seed: 777, scaler: 10.0, Trng Acc: 68.99, Trng Fairness Metric: 8.39, Test Acc: 68.99, Test Fairness Metric: 10.08, Tradeoff: 22.3020 
seed: 100, scaler: 11.0, Trng Acc: 68.11, Trng Fairness Metric: 8.39, Test Acc: 69.27, Test Fairness Metric: 10.82, Tradeoff: 20.5369 
seed: 200, scaler: 11.0, Trng Acc: 68.52, Trng Fairness Metric: 7.92, Test Acc: 69.03, Test Fairness Metric: 11.99, Tradeoff: 10.2813 
seed: 300, scaler: 11.0, Trng Acc: 68.67, Trng Fairness Metric: 8.94, Test Acc: 69.41, Test Fairness Metric: 10.40, Tradeoff: 26.6356 
seed: 777, scaler: 11.0, Trng Acc: 69.11, Trng Fairness Metric: 8.11, Test Acc: 68.99, Test Fairness Metric: 9.52, Tradeoff: 23.9878 
seed: 100, scaler: 12.0, Trng Acc: 68.23, Trng Fairness Metric: 8.06, Test Acc: 69.32, Test Fairness Metric: 10.13, Tradeoff: 26.4509 
seed: 200, scaler: 12.0, Trng Acc: 68.48, Trng Fairness Metric: 7.22, Test Acc: 69.13, Test Fairness Metric: 11.42, Tradeoff: 13.2459 
seed: 300, scaler: 12.0, Trng Acc: 68.38, Trng Fairness Metric: 8.43, Test Acc: 69.03, Test Fairness Metric: 9.91, Tradeoff: 10.9805 
seed: 777, scaler: 12.0, Trng Acc: 68.75, Trng Fairness Metric: 7.88, Test Acc: 68.99, Test Fairness Metric: 9.16, Tradeoff: 25.0765 
